评论得分,评论内容
1,起码15年的时候也是旗舰，触摸屏的线路目视那么明显，起码的设计都没过关！小米能给个合理的解释吗？
1,果然2手东！盒子上有二个标签，下单时间是10月20日和10月25日，我是11月12号下的单，开机电量65%，肯定不是库存机！要买的慎重！
1,二手的，而且上下边框都有明显的划痕，京东也没说明是二手的，包装条码有2个。我买的双网通，居然发的是移动定制机。很不愉快。
1,带游戏有点卡 插耳机的地方也是坏的 差评
1,手机还可以，充电宝是我喜欢的，至于那个送货员我觉得他对工作不负责任叫张成如果可以评分我给他个差评，就算再怎么样，手机也用不着关机吧，包裹就放那儿不管了，又联系不上，给他打过n多个电话一直处于关机状态，一点责任心都没有，我还打电话找到京东客服，搞得我好失落，总共加起来也打了几十个电话了。
1,商品写着支持联通4G，收到货的包装上写着只支持移动，如此的欺诈行为简直不能再垃圾，更无耻的是，打电话给京东客服居然不知道为什么解决问题态度极差，前倨后恭的垃圾客服，不能反思一下自己呢，就这么垃圾的服务，naicha 妹妹估计就这么教的你们的么，垃圾
1,除了配送员服务好 其他都是垃圾服务
1,这次在京东买的小米手机问题很大，感觉在上十一后买的都是残次品。不满意，还是自己推荐给朋友买的。
1,买的双网通结果来的移动
1,11月1日买的手机，今天收到货，在官网上查询手机10月20号就已经卖出，我真的不敢相信买到的是二手的。京东现在全球购卖假货自营卖翻新，明年等着上315吧。
1,小米不咋地 …………
5,抽个抽个
5,性价比高，双摄，新的拍照，爽
5,好看 速度也挺快
5,老板很热情，发货速度快，包装的很仔细，满意的一次购物
5,有时一个个清理后台都能卡住不动，打开应用也比较慢。
5,外观漂亮，性能强劲，很好
5,机子漂亮，价格合理，送货快。
5,做工精致，漂亮，手感很好。试用中，下载和运行很流畅。非常满意。
5,京东的快递是一流的，手机的外观还可以
5,第一次在京东上买手机，都很好，就是电池用电快了些，可能是因为玩游戏吧，其他很满意，要是还有送些配件就好了?
5,耗电有些大.手机重量有些重.
5,都不记得买了几台手机了，信任京东的质量
5,耗电有些大.手机重量有些重.
5,手机很好用，很漂亮，物流快。
5,够快到货
5,送货很快，性价比很高。挺小米。
5,京东发货快，双十一还那么给力，值得称赞，小米手机怎么越做越厚呢?小米note才6毫米多，这款有点厚了。照相还可以，看图。
5,性价比很高，这个价钱已经非常满意了
5,目前用着还好！
5,用了一段时间才来评价东西还是不错的
5,手机很好，正常使用足够一天，降价后性价比超高
5,价格实惠，大品牌！信心保证
5,手机确实很好，再用用看卡不卡吧。
5,还可以，用着感觉还不错
5,双摄像头，照相确实霸道，清楚得很，性价比高大上
5,给老爸买的，用了几天了，感觉还行，还没发现什么问题，支持国产。
5,还行！！！！！
5,刚收到，过几天再评。
5,京东很快，第二天中午就收到了，手机很好，还在用，小米一如既往的好，支持！
5,很好。
1,性价比还行，照相一般，无法体现双镜头优势。竟然不支持5g路由，给差评。
1,才几天，就降价400，真让人受不了，一次非常不愉快的购物
1,什么玩意 买来半个月不到就给我降价400？我去你 吗的
1,手机问题很多，通话黑屏，自动亮度不稳定
1,货随然收到了，居然连发票也没有，再联系商家要发票。
1,手机左边屏幕一条竖线可能是屏幕有问题，最烂的一次网购
1,听音乐音质差！耳机音质差！耳机戴着很不舒服！网络差！不知道怎么形容这个手机！
1,非常不满意的体验，密码和指纹突然在设置里不见了，
1,好好的一个手机，本来我计划所有满分的，用了这几天特别感觉光感太差了！！！
1,太差了
1,没收到货
1,不知道是不是新的
1,用几天再说吧
1,刚买的手机就跳屏，郁闷，真是一次不满意的客服
1,电池耗电量快，屏幕显示率达不到 特别达不到！耳机也不带！包装也特别简单，必须给差评！！！！
1,没有收到手机，手机去哪了？
1,这个机器买回来返回键多次失灵最后去售后刷机了。现在暂时好了。对小米手机无奈了。
1,买了没用几天，返回键坏了。
1,拿二手货来忽悠我接口明显掉漆有使用迹象什么东西
